# checked: 2026-09-11
# outside-documentation: 403 nodes / 414 references as at 2026-09-12, two agreeing sweeps
# IN A COMPONENT: 35 of those 403, across 27 components. The rest is boards and canvas artwork.
# dry-run-of-nine-styles: 2026-09-12 — 105 nodes in scope, 6 applicable, then applied (1429 -> 1423)
# references-at-last-sweep: 1423
# A SNAPSHOT, not a live reading. Nothing in this repo can re-count it: every check here
# reads transcripts or TSVs, and these numbers came from sweeping the live Figma file. If
# this date is old, the file has moved on and the only way to know by how much is to sweep
# again with docs/figma-rebind-deprecated.js.
#
# Every paint style in Figma's DEPRECATED COLOURS collection in aRWjBnTvdLiG50xtwodGwH, with how
# many nodes in the file still reference it. Swept 2026-09-11, twice, agreeing at 1940. Read by
# nobody — a worklist for a person, like deprecated-white-census.tsv beside it.
#
# THE COLLECTION IS 46 STYLES AND 1940 REFERENCES. This repo's model of it was SEVEN names, because
# seven is what the extracted components bind. The white census — 203 nodes, now 141 — was 7% of
# the problem and the only part anyone had looked at.
#
# `refs` counts nodes whose fillStyleId or strokeStyleId is this style, across every page. A style
# at 0 is referenced by no node in THIS file; it may still be used in another file, so 0 means
# "nothing here points at it", not "safe to delete" on its own.
#
style	value	refs	pages
Cool grey	#3E3E3E	0	
Darkmode theme	#33B5E5	0	
#
# SIX PAIRS SHARE A VALUE UNDER TWO NAMES, and every pair is one heavily-used name beside a dead
# one — which is what a half-finished rename looks like:
#   #FFFFFF   White 141          / Grey dolphin 75      <- BOTH live. A second deprecated white
#                                                          the white census never counted.
#   #3E3E3E   Grey slate (A) 681 / Cool grey 0
#   #CD2359   Default theme pink (A) 125 / Cranberry red 0
#   #BE2028   Red (A) 26         / Striking red 1
#   #2066AF   Blue deep ocean (A) 2 / Cobalt blue 1
#   #33B5E5   Blue sky 2         / Darkmode theme 0
#
# AND CLAUDE.md WAS WRONG ABOUT TWO OF THESE. It records that `Grey slate (A)` and
# `Default theme pink (A)` "now have no references at all" after the AI Assistant rebinds on
# 2026-09-11. File-wide they have 681 and 125. The claim was true of the EXTRACTED COMPONENTS and
# was written as though it were true of Figma — the same scope error the white census found, at
# five times the size. Corrected in CLAUDE.md.
#
# ── THE GREY RUN, 2026-09-11 ───────────────────────────────────────────────────
# 348 nodes rebound. The collection went 1940 -> 1592, measured by two agreeing sweeps.
#
# done	240	Grey steel STROKES	-> Border/Default full      (259 -> 19)
# done	72	Grey slate (A) TEXT	-> Text/Primary             (681 -> 609)
# done	23	Grey fog (A) TEXT	-> Text/Secondary           (178 -> 142)
# done	13	Grey fog (A) VECTORS	-> Icons/Icon - Secondary
#
# GREY STEEL WAS THE CLEAN ONE BECAUSE IT IS A BORDER. 240 of its 259 references were strokes,
# none of them inherited, one role, one token. A border does not depend on what is behind it the
# way text does, so nothing had to be looked at twice.
#
# ── AND THE OTHER TWO ARE BLOCKED BY THEIR OWN BACKDROPS ──────────────────────
# This is the finding, and it is bigger than the greys. Of the 646 Grey slate TEXT nodes, only
# 72 sit on a surface that follows the mode:
#
#	72	backdrop is a SEMANTIC variable	rebound
#	287	backdrop is a PRIMITIVE	held
#	177	backdrop is a RAW hex	held
#	108	backdrop is another DEPRECATED style	held
#	2	no filled ancestor at all	held
#
# Grey fog is the same shape: 40 raw, 52 deprecated-style, and 49 frame strokes held separately
# because a #656565 frame stroke could be a hollow button border, a nav item or a divider, and
# those take three different tokens.
#
# YOU CANNOT GIVE TEXT A MODE-AWARE TOKEN OVER A SURFACE THAT DOES NOT CHANGE MODE.
# Text/Primary is #3E3E3E light and #FFFFFF dark. Put it on text sitting over a raw #FFFFFF panel
# and dark mode renders white on white. Text/Always grey slate would preserve both modes, but it
# would also cement a light-only design in place and make the surface bug permanent and invisible.
# So the 574 held-back nodes are not waiting on a token decision. They are waiting on their
# SURFACES being tokenised, and every one of those surfaces is its own entry in this file.
#
# The remaining 19 Grey steel references are fills, not strokes, and they split three ways:
#	6	Table header icons Hover	the known no-role-correct-token case
#	8	`Line` rectangles on DOCUMENT MANAGEMENT	annotation chrome; leave-bucket
#	5	STYLE GUIDE specimens, Rectangle 98/99, Dropdown item	specimens and one-offs
#
# 36 of the 46 styles still carry references. 10 carry none.
#
# ── WHERE THE REMAINING 1592 ACTUALLY LIVE, 2026-09-11 ────────────────────────
# Two agreeing sweeps, split by page:
#
#	346	COMPONENT pages — the shipped library. The real job.
#	1073	DOCUMENTATION — WIKI, STYLE GUIDE, DOCUMENT MANAGEMENT
#	173	AI — the exploration page
#
# So 67% of what is left is documentation and 11% is exploration. Only 21 of the 46 styles
# appear on a component page at all, and the top five are 231 of the 346:
#
#	113	Grey slate (A)	12 pages	blocked on surfaces (see the grey run above)
#	58	Default theme pink (A)	11 pages	Text/Theme vs Background/Theme by ROLE — a known mapping
#	33	Grey	#868686, 4 pages
#	28	White	3 pages
#	19	Green leaf	3 pages
#
# THIS IS THE NUMBER TO PLAN AGAINST. "1,940 references to a retired collection" reads like a
# quarter of work; 346 on the shipped library is a fortnight. The rest is a separate decision
# about whether the style guide and the wiki should demonstrate the system in a retired style —
# the same `judge` question the white census raised, now sized at 1,073 rather than 47.
#
# AND THE SURFACES ARE NOT MECHANICAL. Checked before touching any: every surface value maps to
# several semantic frame-fill variables that diverge in dark mode, so none can be applied by rule.
#	#FFFFFF	7 candidates	Background/Primary #2C313C, Table/Card #2C313C, Table/Primary cell
#			#323441, Org cards/BG Main #1D1F27, Navigation/Nav bg left #1D1F27,
#			Nav bg top #23252E, Tags/Fills/Info #FFFFFF
#	#FAFAFA	2 candidates	Background/Secondary #1D1F27 vs Table/Stripe cell #23252E
#	#F2F2F2	2 candidates	Background/Tertiary #282A32 vs Table/Header cell #141414
# A page background and a table stripe are the same colour in light and different in dark. Picking
# between them is the design decision this repo exists to stop anyone making by accident.
#
# ── THE PINK AND GREY-868686 RUNS, 2026-09-11 ─────────────────────────────────
# Collection 1592 -> 1514. Component pages 346 -> 268. Two agreeing sweeps.
#
# done	47	Default theme pink VECTORS	-> Icons/Icon - Theme	125 -> 76
# done	1	Default theme pink TEXT	-> Text/Theme
# done	1	Default theme pink LINE stroke	-> Border/Theme
# done	18	Grey #868686 VECTORS	-> Icons/Icon - Disabled	36 -> 7   ** SEE WARNING **
#
# held	9	pink RECTANGLE/ELLIPSE/INSTANCE fills — SHAPE_FILL is shared by Icons/Icon - Theme
#		and Background/Theme, which diverge in dark (#5CC4EA vs #33B5E5)
# held	13	grey strokes — STROKE_COLOR is shared by Icons/Icon - Disabled and Border/Tertiary
#
# ── WARNING: THE 18 GREY VECTORS NEED A DESIGNER TO CONFIRM ───────────────────
# These were applied by a SCOPE RULE: of the semantic variables at #868686, exactly one carries
# SHAPE_FILL, so exactly one candidate matched and the rebind went ahead. The rule is sound as far
# as it goes, and it does not go far enough.
#
# A single-candidate scope match proves THE SYSTEM HAS ONE MEANING FOR THAT COLOUR IN THAT ROLE.
# It does NOT prove the designer used the colour for that meaning.
#
# The check afterwards could not confirm them. Reading every node now bound to Icons/Icon -
# Disabled returns 260 — mostly pre-existing bindings, not mine — and only 11 sit in a context
# named Disabled. The others are ordinary chevrons, switcher arrows and tooltip glyphs:
#	Left chevron < Button < Actions < Horizontal scroll
#	Right arrow < Switcher < Side panel
#	Tooltip question < Field label < Checkbox/Radio list
# If any of my 18 are that kind of node, they now carry a token that resolves to #F2F2F2 in DARK
# MODE — near-white, effectively invisible on a light-grey icon slot. Light mode is unchanged at
# #868686 either way, which is exactly why nobody would notice.
#
# I cannot separate my 18 from the 242 pre-existing ones after the fact: nothing recorded which
# node ids changed, and both groups now look identical. That is the real mistake here — not the
# rule, but writing without recording what was written. Every earlier run in this file logged its
# targets; this one logged only a count.
#
# These edits are UNPUBLISHED, so they are reviewable in Figma before they reach anyone. Open the
# Grey #868686 usages, confirm each is genuinely a disabled state, and revert any that are not.
#
# ── GOING BACK OVER THE 18, 2026-09-11 ────────────────────────────────────────
# I could not isolate my 18 from the nodes already bound to Icons/Icon - Disabled, so I audited
# the whole population instead. Warm, two agreeing runs.
#
#	277	nodes on COMPONENT pages bound to Icons/Icon - Disabled
#	13	of them sit in a context named Disabled / inactive / read-only
#	264	do not
#	86	of those 264 FAIL WCAG 3:1 in DARK MODE against their own backdrop
#
# Icons/Icon - Disabled is #868686 light and #F2F2F2 dark. The failures by backdrop:
#	45	static #FFFFFF	1.12:1	the surfaces problem again — a raw-hex panel does not
#				darken, so a near-white icon lands on a white panel
#	28	Icons/Icon - Secondary	1.61:1
#	12	Border/Secondary	1.61:1
#	1	Icons/Icon - Disabled	1:1	an icon on itself
#
# Worst clusters: Dashboard star < Stars 30, Union < Vector 12, Icon viewport/Icon_Template 12,
# then chevrons, dropdowns, calendars, clocks and tooltip glyphs in ones and twos.
#
# SO THIS IS NOT MY BUG — IT IS A FILE-WIDE ONE, AND MY 18 JOINED IT. 259 of the 277 predate
# today. The pattern was already there: a grey icon gets the Disabled token because the value
# matches, and nobody sees the consequence because it only appears in dark mode.
#
# MY 18 DID MAKE IT WORSE FOR THEIR OWN NODES, AND THAT IS WORTH BEING EXACT ABOUT. Before the
# rebind those vectors were a STATIC #868686 in both modes, which on a white panel is about
# 3.6:1 — readable. After it they are #F2F2F2 in dark, 1.12:1 — not. Light mode is identical
# either way, so no screenshot in the mode anyone looks at would show it.
#
# The fix for all 86 is one decision, not eighteen: these are secondary icons, not disabled ones,
# and Icons/Icon - Secondary (#656565 light, #C1C1C1 dark) is the role-correct token. That is a
# designer call on 86 nodes across seven pages, so it is recorded here rather than applied.
#
# ── THE GUARDED RUN, 2026-09-11 ───────────────────────────────────────────────
# Scope rule plus a DARK-MODE CONTRAST GUARD, over every remaining deprecated style on component
# pages. Collection 1514 -> 1429; 20 edits cleared 85 nodes. Every id is in
# tokens/_raw/deprecated-rebinds-applied.tsv.
#
# THE GUARD EARNED ITS PLACE ON THE FIRST RUN. It held 13 nodes whose single scope-matched
# candidate would have been unreadable in dark against their own backdrop:
#	12	Green leaf -> Charts/Chart 3	2.82:1 and 2.94:1
#	1	Blue sky -> Icons/Icon - Info	2.36:1
# That is exactly the mistake the Grey #868686 run made 18 times. The rule that found the token is
# the same rule; what changed is that it now has to survive a measurement before it is written.
#
# ── FOUR COLOURS HAVE NO SEMANTIC AT THEIR VALUE AT ALL ───────────────────────
#	13	Blue Charade	#2C313C
#	4	Blue shark	#1D1F27
#	2	Black	#1A1A1A
#	1	Blue deep ocean (A)	#2066AF
# The first three are the DARK-MODE values of live semantic tokens — #2C313C is Background/Primary
# in dark, #1D1F27 is Navigation/Nav bg left in dark, #1A1A1A is Progress bar/Border in dark. So
# someone painted a dark-mode colour statically into a light-mode design. There is no token to
# rebind them to, because the thing they want is "the dark value of X", which a variable expresses
# by MODE and not by name. These need redrawing, not rebinding.
#
# ── THE BIGGEST HOLD IS STILL THE SURFACES ───────────────────────────────────
#	110	Grey slate (A) fill:TEXT	Text/Primary vs Text/Always grey slate
#	16	White fill:TEXT	4 candidates
#	15	Blue ocean (A) fill:RECTANGLE	Icons/Icon - Link vs Charts/Chart 1
#	12	White fill:VECTOR	7 candidates
#	12	Light ivory fill:FRAME	Background/Secondary vs Table/Stripe cell
# Every one of these is a two-or-more-candidate case where the candidates agree in light and differ
# in dark. None can be settled from a light-mode render, which is the whole reason they are listed
# rather than applied.
#
# ── THE NINE-STYLE DRY RUN, 2026-09-12 ───────────────────────────────────────
# The first run of docs/figma-rebind-deprecated.js with WRITE = false, over the nine largest
# styles nobody had swept: White Ivory, Grey dolphin, Black, Light ivory, Orange, Blue ocean (A),
# Colour blue, Red (A), Blue Charade. ONE traversal, 105 nodes outside documentation, two
# agreeing sweeps, NOTHING WRITTEN. What it would do:
#
#	style	value	in scope	would apply	held
#	Red (A)	#BE2028	16	6 (applied)	10
#	Grey dolphin	#FFFFFF	23	0	23
#	Light ivory	#FAFAFA	23	0	23
#	Blue ocean (A)	#0075BE	28	0	28
#	Blue Charade	#2C313C	14	0	14
#	White Ivory	#F2F2F2	3	0	3
#	Black	#1A1A1A	2	0	2
#	Orange	#FC8700	2	0	2
#	Colour blue	#363A46	0	0	0
#
# SIX OF 105 ARE MECHANICAL, and they are one case: six Negative-button frame fills that take
# Background/Negative Button. APPLIED in a second run with WRITE = true: Red (A) 16 -> 10, both
# after-sweeps agreeing, all six ids in tokens/_raw/deprecated-rebinds-applied.tsv. Collection
# 1429 -> 1423. The other ten Red (A) nodes hold on three candidates — Icons/Icon - Negative
# #FF8080, Icons/Icon - Required field #5CC4EA and Border/Negative #FF8080 — which is a real
# divergence in dark and a person's call.
#
# `Colour blue` has 29 references and NONE outside documentation. It is a style guide colour,
# which the by-page split predicted and this confirms node by node.
#
# GREY DOLPHIN IS 23 STROKES, and every one of them holds on four candidates: Icons/Icon - Primary
# inverted #3E3E3E, Navigation/Nav bg left #1D1F27, Nav bg top #23252E, Icons/Icon - Always white
# #FFFFFF. A white stroke in dark mode is either a hairline that must stay white or one that must
# invert, and nothing in the file says which. This is the second deprecated white, and it is the
# surfaces problem wearing a different hat.
#
# LIGHT IVORY IS 23 FRAMES, all held on Background/Secondary #1D1F27 vs Table/Stripe cell #23252E
# — a page background and a table stripe, identical in light. BLUE OCEAN is 28 marks held on
# Icons/Icon - Link #5CC4EA vs Charts/Chart 1 #0075BE: a link blue that lightens in dark against a
# chart blue that does not.
#
# BLUE CHARADE AND BLACK confirm the no-semantic finding node by node: 14 and 2 nodes at #2C313C
# and #1A1A1A, the dark values of Background/Primary and Progress bar/Border painted statically.
# No rebind can express them; they need redrawing.
#
# AND THE RUN CORRECTED THE RULE'S OWN MESSAGE. The two Orange nodes were held saying the
# candidates "differ in dark" — and Icons/Icon - Warning and Charts/Chart 2 are BOTH #FC8700 in
# dark. The hold was right and its reason was false. Where every candidate resolves the same in
# both modes no render can separate them, so the hold is about MEANING rather than appearance, and
# chooseToken now says which of the two it is. Four mutants.
#
# ── THE WHOLE COLLECTION RE-SWEPT, 2026-09-12 ────────────────────────────────
# All 46 styles, ONE traversal, WRITE = false, two agreeing sweeps: 403 nodes outside the three
# documentation pages carry 414 style references (a node can carry a fill AND a stroke). This is
# the first measurement of the collection that is not an aggregate of separate per-style runs.
#
# READ THE SCOPE BEFORE THE NUMBER. It EXCLUDES WIKI, STYLE GUIDE and DOCUMENT MANAGEMENT, so it
# is not comparable with the 1423 file-wide figure above, and it does NOT split component pages
# from the AI exploration page — that split is not something this sweep measured, and this file
# has twice written a scoped count as though it were a file-wide one.
#
#	style	value	nodes	would apply	held
#	Grey slate (A)	#3E3E3E	177	0	177
#	White	#FFFFFF	52	0	52
#	Grey fog (A)	#656565	28	0	28
#	Blue ocean (A)	#0075BE	28	0	28
#	Grey dolphin	#FFFFFF	23	0	23
#	Light ivory	#FAFAFA	23	0	23
#	Green leaf	#00AD60	14	6 strokes	8
#	Default theme pink (A)	#CD2359	14	0	14
#	Blue Charade	#2C313C	14	0	14
#	Red (A)	#BE2028	10	0	10
#	Grey steel	#E5E5E5	9	0	9
#	Green button (A)	#517A38	5	0	5
#	Grey	#868686	4	0	4
#	Blue shark	#1D1F27	4	0	4
#	White Ivory	#F2F2F2	3	0	3
#	Black	#1A1A1A	2	0	2
#	Orange	#FC8700	2	0	2
#	Blue deep ocean (A)	#2066AF	1	0	1
#	Blue sky	#33B5E5	1	0	1
#
# TWENTY-SEVEN OF THE FORTY-SIX STYLES HAVE NO NODE OUTSIDE DOCUMENTATION AT ALL. Colour blue,
# Fern green, Blue Turquoise, Purple orchid, Button blue (A), Default 5% theme, Red Dark Mode,
# Purple iris, Copper (A), Striking red, Velvet red, Berry pink, Royal purple, Cobalt blue, Blue
# lagoon, Teal ocean, Orange flame, Blue iceberg, Pink candy, White lilac, Light purple (A), Green
# mint, Pink Rhubarb, Blue marine, Cranberry red, Cool grey, Darkmode theme. Nineteen styles are
# the entire shipped-side job.
#
# SIX WOULD APPLY AND ARE NOT BEING APPLIED, which is the one judgement in this run. They are
# Green leaf STROKES taking Charts/Chart 3 — 26967:14438, 26967:14440, 18255:96123, 18262:96584,
# 18255:95883, 18255:96020. The rule applies a stroke and REPORTS its ratio rather than holding,
# and that exists so the 240 Grey steel dividers could be rebound; its own note on five of these
# six reads "only 2.82:1 in dark — fine for a divider, wrong for an icon outline". A chart series
# line is a mark a reader has to read, not a divider, and the eight Green leaf FILLS beside them
# were held by the guard at exactly those ratios. Applying the strokes and holding the fills would
# split one cluster on a distinction node type cannot see. Left for a designer with the ratios
# measured — the badge/series colour is the fix, not the token.
#
# THE HOLDS ARE THE REAL WORKLIST, and 174 of the 414 are one question:
#	174	Grey slate (A) fill:TEXT	Text/Primary #FFFFFF vs Text/Always grey slate #3E3E3E
#	26	White fill:TEXT	4 candidates
#	24	Grey fog (A) fill:VECTOR	4 candidates
#	17	White fill:VECTOR	7 candidates
#	23	Grey dolphin stroke	4 candidates
#	23	Light ivory fill:FRAME	Background/Secondary vs Table/Stripe cell
#	28	Blue ocean (A)	Icons/Icon - Link vs Charts/Chart 1
# Answering the first one alone settles 42% of what is left.
#
# GREY STEEL'S LAST 9 ARE ALL FILLS, and all hold on Border/Default full vs Border/Default hidden
# — the split this repo confirmed with the design lead. A border colour used as a FILL is the
# reason: as a stroke there was one answer and 240 nodes took it.
#
# ── "ON A COMPONENT PAGE" IS NOT "IN A COMPONENT", 2026-09-12 ────────────────
# Every count in this file up to here was scoped by PAGE. A page is not a component. Classifying
# the same 403 nodes by their ANCESTRY, twice agreeing:
#
#	213	inside an INSTANCE placed on a board
#	155	loose on the canvas — specimens, rules, annotation chrome
#	35	inside a COMPONENT or COMPONENT_SET	<- the published library
#
# THE SHIPPED JOB IS 35 NODES ACROSS 27 COMPONENTS. The line above this one calls 346 "COMPONENT
# pages — the shipped library. The real job." That was the same scope error this file has now made
# three times, one level further out: the component pages are mostly BOARDS — a master beside a
# dozen placed instances of it, a Dos-and-don'ts panel, a rules strip, a specimen row. All of it
# looks identical in a render and none of it publishes.
#
# WHY AN INSTANCE NODE IS NOT THE LIBRARY, stated so the claim can be checked rather than trusted.
# An instance node carrying the style either (a) inherits it from its master, in which case that
# master node is itself in the 35 — it is on the same page and this sweep found it — or its master
# is in another file, or (b) carries it as a board-level override. DEPRECATED COLOURS styles are
# LOCAL to this file (remote: false), and a remote component cannot reference a local style, so
# case (a)-via-another-file resolves to an override too. That is the same property that settled the
# waffle. Either way the instance is a USAGE, and fixing the master is what fixes the library.
#
# THE 27 COMPONENTS, with how many nodes each:
#	7	Navigation	System=People First, Tablet=No, Mobile=Yes, Darkmode=Yes
#	3	Tables	Table header icons
#	1 each	Navigation	[S] Config child menu, Waffle, Size=Large, Size=Small,
#		Theme=Configr Mobile=No, Theme=Configr Mobile=Yes, Theme=Classic Mobile=No,
#		System=Configr Tablet=No Mobile=No Darkmode=No,
#		System=People First Tablet=No Mobile=No Darkmode=Yes
#	1 each	Buttons and links	Link=Key actions, Link=External links, Link=Out of office,
#		Link=Social activity, Link=Recognition trends, Link=MHR, Hover=False
#	1 each	Cards and panels	Layout=Horizontal, Layout=Vertical
#	1 each	Tables	Type=Default Style=Default, Type=Default Style=Stripe
#	1 each	AI	Style=Inverted Hover=False Mobile=False, State=Hover
#	1 each	Icons	Upload CSV, MP4
#	1	System messages	Status type=New social group
#
# Seventeen of the 35 are `White`, seven are `Grey slate (A)`, three `Grey steel`, three
# `Default theme pink (A)`, two `Grey`, two `Blue shark`, one `Blue deep ocean (A)`.
#
# AND THE SURFACES UNDER THE OTHER 368 ARE MOSTLY BOARDS TOO. Of the 403, 301 sit on a surface
# that does not follow the mode — and the biggest of those surfaces are Figma SECTIONS and
# specimen frames: `Button rules` (14 nodes), `How to use` (9), `Bar chart` (8), `Dos and don'ts`,
# `Rules`, `Text alignment`. 249 of the 301 sit on a raw #FFFFFF. A text node whose nearest filled
# ancestor is a SECTION is not inside any component at all — it is a label on the board.
#	raw hex	265
#	variable	98	<- these DO follow the mode; they are held on candidate ambiguity, not surfaces
#	deprecated style	36
#	no filled ancestor	4
# 190 distinct surfaces do not follow the mode, carrying 301 nodes between them.
